x                   rho                 u                   p                   
-0.497500           11.768293           0.000000            1013250.000000      
-0.492500           11.768293           0.000000            1013250.000000      
-0.487500           11.768293           0.000000            1013250.000000      
-0.482500           11.768293           0.000000            1013250.000000      
-0.477500           11.768293           0.000000            1013250.000000      
-0.472500           11.768293           0.000000            1013250.000000      
-0.467500           11.768293           0.000000            1013250.000000      
-0.462500           11.768293           0.000000            1013250.000000      
-0.457500           11.768293           0.000000            1013250.000000      
-0.452500           11.768293           0.000000            1013250.000000      
-0.447500           11.768293           0.000000            1013250.000000      
-0.442500           11.768293           0.000000            1013249.999999      
-0.437500           11.768293           0.000000            1013249.999999      
-0.432500           11.768293           0.000000            1013249.999997      
-0.427500           11.768293           0.000000            1013249.999993      
-0.422500           11.768293           0.000000            1013249.999983      
-0.417500           11.768293           0.000000            1013249.999962      
-0.412500           11.768293           0.000000            1013249.999914      
-0.407500           11.768293           0.000000            1013249.999810      
-0.402500           11.768293           0.000000            1013249.999585      
-0.397500           11.768293           0.000000            1013249.999105      
-0.392500           11.768293           0.000000            1013249.998096      
-0.387500           11.768293           0.000001            1013249.996002      
-0.382500           11.768293           0.000002            1013249.991719      
-0.377500           11.768293           0.000004            1013249.983073      
-0.372500           11.768292           0.000008            1013249.965867      
-0.367500           11.768292           0.000017            1013249.932107      
-0.362500           11.768292           0.000033            1013249.866816      
-0.357500           11.768291           0.000063            1013249.742366      
-0.352500           11.768289           0.000120            1013249.508634      
-0.347500           11.768285           0.000226            1013249.076176      
-0.342500           11.768278           0.000419            1013248.288086      
-0.337500           11.768267           0.000765            1013246.873859      
-0.332500           11.768246           0.001377            1013244.375399      
-0.327500           11.768210           0.002440            1013240.031010      
-0.322500           11.768148           0.004259            1013232.597799      
-0.317500           11.768045           0.007321            1013220.086617      
-0.312500           11.767873           0.012390            1013199.377046      
-0.307500           11.767593           0.020639            1013165.674283      
-0.302500           11.767146           0.033834            1013111.767147      
-0.297500           11.766443           0.054572            1013027.049806      
-0.292500           11.765358           0.086584            1012896.282990      
-0.287500           11.763713           0.135107            1012698.097468      
-0.282500           11.761267           0.207302            1012403.286592      
-0.277500           11.757695           0.312705            1011972.996630      
-0.272500           11.752581           0.463662            1011356.999232      
-0.267500           11.745400           0.675692            1010492.309444      
-0.262500           11.735514           0.967696            1009302.476661      
-0.257500           11.722175           1.361935            1007697.900945      
-0.252500           11.704535           1.883716            1005577.487647      
-0.247500           11.681672           2.560717            1002831.831947      
-0.242500           11.652627           3.421986            999347.921908       
-0.237500           11.616453           4.496638            995015.089881       
-0.232500           11.572267           5.812391            989731.679696       
-0.227500           11.519304           7.394078            983411.697873       
-0.222500           11.456964           9.262316            975990.642775       
-0.217500           11.384852           11.432475           967429.788893       
-0.212500           11.302792           13.914062           957718.432729       
-0.207500           11.210837           16.710562           946873.927619       
-0.202500           11.109250           19.819699           934939.667800       
-0.197500           10.998479           23.234055           921981.450417       
-0.192500           10.879124           26.941918           908082.798371       
-0.187500           10.751895           30.928256           893339.855151       
-0.182500           10.617574           35.175694           877856.387146       
-0.177500           10.476981           39.665419           861739.290405       
-0.172500           10.330940           44.377965           845094.840777       
-0.167500           10.180263           49.293844           828025.782567       
-0.162500           10.025722           54.394019           810629.240295       
-0.157500           9.868046            59.660246           792995.366530       
-0.152500           9.707912            65.075280           775206.602178       
-0.147500           9.545937            70.622996           757337.415741       
-0.142500           9.382685            76.288422           739454.395700       
-0.137500           9.218662            82.057721           721616.587166       
-0.132500           9.054326            87.918139           703875.984626       
-0.127500           8.890083            93.857913           686278.112944       
-0.122500           8.726300            99.866178           668862.646972       
-0.117500           8.563303            105.932859          651664.035108       
-0.112500           8.401382            112.048553          634712.103983       
-0.107500           8.240800            118.204426          618032.630307       
-0.102500           8.081792            124.392094          601647.872370       
-0.097500           7.924570            130.603519          585577.058152       
-0.092500           7.769330            136.830899          569836.829984       
-0.087500           7.616249            143.066566          554441.647561       
-0.082500           7.465494            149.302884          539404.152170       
